Name	File	Value	Tag
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אפפל	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	שולמית	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	קפריסין	I_LOC
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	נעמי	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	ברנשטיין	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	קפריסין	I_LOC
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	רוסי	I_LOC
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	נינווה	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	רחוב	I_LOC
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	גורדון	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	בתלאביב	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	תום	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	הוא	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	כתב	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	שֶׁלִּי	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	קְטַנָּה	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	מֵתָה	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	הייקו	I_LOC
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	לאחור	I_LOC
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	קצרצרים	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	ברסלב	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אַל	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אוֹתִי	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אמה	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אלינועם	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	תיאטרונטו	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	תיאטרון	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	נווה	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	נָאצִיתבְּסַקְסוֹנְיָה	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	נָזְפוּבִּיפַּעַםבְּפוּמְבִּישֶׁלֹּאעִבְרַתִּיאֶתהַשֵּׁם	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אָבִיהָיָהפּוֹלָנִיאִמִּינוֹלְדָהבְּרוֹמַנְיָהסָבָתִיבְּרוּסְיָה...	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	יְהוּדִיָּהלֹאצְרִיכָהלַחְשׁוֹבעַלסֶקְסכְּדֵילְקַבֵּלכְּאֵברֹאש	I_ORG
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	לוי	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	אשכול	I_PERS
 אפפל שולמית	Max_100/145_אפפל_שולמית.txt	ארץ	I_LOC
